time_s,joint,position_rad,velocity_rad_s,effort_raw,current_proxy
0.003040790557861328,shoulder_pan_joint,1.079746490929857e-07,-2.710505431213761e-20,0.0,0.0
0.003040790557861328,shoulder_lift_joint,-1.569999892868434,9.701312290392311e-14,-0.01564517201148034,0.0
0.003040790557861328,elbow_joint,-1.781777776219303e-07,2.710505431213761e-20,-0.006507021437268543,0.0
0.003040790557861328,wrist_1_joint,-1.5699997920298085,1.1094017414794988e-13,-0.0016570134538000107,0.0
0.003040790557861328,wrist_2_joint,-1.477151872797219e-07,2.710505431213761e-20,0.00046305108400052265,0.0
0.003040790557861328,wrist_3_joint,-1.369239510176497e-07,8.131516293641283e-20,4.509331255245841e-34,0.07143050647363236
0.0034036636352539062,shoulder_pan_joint,1.0797464909298565e-07,-4.0657581468206416e-20,-8.470329472543003e-19,0.01142369166280023
0.0034036636352539062,shoulder_lift_joint,-1.569999892868434,9.701305514128733e-14,-0.015645172011480326,0.0
0.0034036636352539062,elbow_joint,-1.7817777762193016e-07,1.6263032587282567e-19,-0.006507021437268539,0.11875904754284551
0.0034036636352539062,wrist_1_joint,-1.5699997920298085,1.1094011993784125e-13,-0.0016570134538000103,0.0
0.0034036636352539062,wrist_2_joint,-1.4771518727972184e-07,8.131516293641283e-20,0.00046305108400052254,0.19740300397457636
0.0034036636352539062,wrist_3_joint,-1.369239510176498e-07,0.0,-9.714451465469668e-21,0.0927165954276325
0.0037560462951660156,shoulder_pan_joint,1.0797464909298563e-07,-4.0657581468206416e-20,-8.470329472543003e-19,0.0
0.0037560462951660156,shoulder_lift_joint,-1.569999892868434,9.701305514128733e-14,-0.015645172011480333,0.12750632036480677
0.0037560462951660156,elbow_joint,-1.7817777762193022e-07,8.131516293641283e-20,-0.006507021437268546,0.06017384250502127
0.0037560462951660156,wrist_1_joint,-1.5699997920298085,1.1094036388333006e-13,-0.00165701345380001,0.0
0.0037560462951660156,wrist_2_joint,-1.477151872797219e-07,-2.710505431213761e-20,0.0004630510840005221,0.04988674922954465
0.0037560462951660156,wrist_3_joint,-1.3692395101764997e-07,-1.0842021724855044e-19,-4.857225732734609e-21,0.0
0.0041255950927734375,shoulder_pan_joint,1.0797464909298565e-07,-1.3552527156068805e-20,0.0,0.05907846287747115
